id;isbn;name;publish_year;copies;cover;cover_content_type
1;Mesa Peixe;Dynamic programming;forecast;6904;../fake-data/blob/hipster.png;image/png
2;Principal com;Director high-level Alameda;Borders Lanka Travessa;30968;../fake-data/blob/hipster.png;image/png
3;ADP synthesiz;Representative parsing;calculating;58587;../fake-data/blob/hipster.png;image/png
4;connecting;Macio;bleeding-edge Ceará Genérico;75642;../fake-data/blob/hipster.png;image/png
5;peleX;Bacon optical blockchains;Peixe Alameda;63557;../fake-data/blob/hipster.png;image/png
6;Macio transmi;Omã generate;deposit Cambridgeshire;11906;../fake-data/blob/hipster.png;image/png
7;e-business pú;Svalbard Personal programming;Livros transmitter;23182;../fake-data/blob/hipster.png;image/png
8;compressing M;Jibuti;input;33491;../fake-data/blob/hipster.png;image/png
9;Paraíba Rondô;e-tailers functionalities Supervisor;payment Brinquedos Home;46751;../fake-data/blob/hipster.png;image/png
10;Paradigm calc;quantify;Andorra índigo SMS;96569;../fake-data/blob/hipster.png;image/png
